model,experiment,fold,subset,utterances,speakers,phoneme_overlap_percent,utt_mean_overlap_percent,phoneme_jensen_shannon_distance,utt_mean_wasserstein_points,utt_mean,utt_mean_absolute_shift
gopt,01_gopt/exp/gopt-BOMA,1,train,2000,100,99.47481189228486,97.42999999999998,0.0059463223381844635,0.020496,7.98418,0.0046520000000001005
gopt,01_gopt/exp/gopt-BOMA,1,validation,500,25,97.84066432210528,89.72,0.024564563926520507,0.08198399999999997,8.007439999999999,0.018607999999998626
gopt,01_gopt/exp/gopt-BOMA,2,train,2000,100,99.60755869787367,98.75,0.004710341901981108,0.03160799999999997,8.02012,0.03128799999999998
gopt,01_gopt/exp/gopt-BOMA,2,validation,500,25,98.432318550621,95.0,0.018678453037588926,0.126432,7.86368,0.12515200000000082
gopt,01_gopt/exp/gopt-BOMA,3,train,2000,100,99.57119401482262,97.71999999999998,0.004994576701833391,0.029091999999999993,7.96438,0.02445200000000014
gopt,01_gopt/exp/gopt-BOMA,3,validation,500,25,98.34094316964224,90.88000000000001,0.019046363594855342,0.11636799999999996,8.08664,0.09780799999999878
gopt,01_gopt/exp/gopt-BOMA,4,train,2000,100,99.50818994925555,96.81,0.005667474855461861,0.044325999999999983,8.01449,0.02565799999999996
gopt,01_gopt/exp/gopt-BOMA,4,validation,500,25,97.97486044240077,87.24000000000001,0.02343032422426212,0.17730399999999996,7.886199999999999,0.10263200000000161
gopt,01_gopt/exp/gopt-BOMA,5,train,2000,100,99.49718577149143,96.93,0.0058831879034194675,0.04098999999999994,7.96099,0.02784200000000059
gopt,01_gopt/exp/gopt-BOMA,5,validation,500,25,98.0304313282306,87.72,0.02304188361420805,0.16396000000000005,8.100200000000001,0.11136800000000058
hipama,02_HiPAMA/exp/hipama-BOMA,1,train,2000,100,99.47481189228486,97.42999999999998,0.0059463223381844635,0.020496,7.98418,0.0046520000000001005
hipama,02_HiPAMA/exp/hipama-BOMA,1,validation,500,25,97.84066432210528,89.72,0.024564563926520507,0.08198399999999997,8.007439999999999,0.018607999999998626
hipama,02_HiPAMA/exp/hipama-BOMA,2,train,2000,100,99.60755869787367,98.75,0.004710341901981108,0.03160799999999997,8.02012,0.03128799999999998
hipama,02_HiPAMA/exp/hipama-BOMA,2,validation,500,25,98.432318550621,95.0,0.018678453037588926,0.126432,7.86368,0.12515200000000082
hipama,02_HiPAMA/exp/hipama-BOMA,3,train,2000,100,99.57119401482262,97.71999999999998,0.004994576701833391,0.029091999999999993,7.96438,0.02445200000000014
hipama,02_HiPAMA/exp/hipama-BOMA,3,validation,500,25,98.34094316964224,90.88000000000001,0.019046363594855342,0.11636799999999996,8.08664,0.09780799999999878
hipama,02_HiPAMA/exp/hipama-BOMA,4,train,2000,100,99.50818994925555,96.81,0.005667474855461861,0.044325999999999983,8.01449,0.02565799999999996
hipama,02_HiPAMA/exp/hipama-BOMA,4,validation,500,25,97.97486044240077,87.24000000000001,0.02343032422426212,0.17730399999999996,7.886199999999999,0.10263200000000161
hipama,02_HiPAMA/exp/hipama-BOMA,5,train,2000,100,99.49718577149143,96.93,0.0058831879034194675,0.04098999999999994,7.96099,0.02784200000000059
hipama,02_HiPAMA/exp/hipama-BOMA,5,validation,500,25,98.0304313282306,87.72,0.02304188361420805,0.16396000000000005,8.100200000000001,0.11136800000000058
hiertfr,03_HierTFR/exp/hiertfr-BOMA,1,train,2000,100,99.39289927904613,97.33,0.006711327821157857,0.024964000000000014,8.00814,0.01930799999999877
hiertfr,03_HierTFR/exp/hiertfr-BOMA,1,validation,500,25,97.60887134741128,89.32,0.026548785308815073,0.09985599999999992,7.9116,0.07723200000000041
hiertfr,03_HierTFR/exp/hiertfr-BOMA,2,train,2000,100,99.56568855976977,97.66,0.005027259465004324,0.028190000000000034,8.01389,0.02505799999999958
hiertfr,03_HierTFR/exp/hiertfr-BOMA,2,validation,500,25,98.22796241353406,90.64,0.020449722042121973,0.11275999999999994,7.8886,0.1002320000000001
hiertfr,03_HierTFR/exp/hiertfr-BOMA,3,train,2000,100,99.45490384695775,98.0,0.006092935836112073,0.04605199999999998,7.942779999999999,0.046052000000001314
hiertfr,03_HierTFR/exp/hiertfr-BOMA,3,validation,500,25,97.83966802368236,92.0,0.02394795170347077,0.18420799999999998,8.17304,0.18420799999999993
hiertfr,03_HierTFR/exp/hiertfr-BOMA,4,train,2000,100,99.54947016527589,97.1,0.005257014082855906,0.045353999999999936,7.97777,0.011062000000000793
hiertfr,03_HierTFR/exp/hiertfr-BOMA,4,validation,500,25,98.2394077589129,88.4,0.020651507157590322,0.18141600000000005,8.03308,0.04424799999999962
hiertfr,03_HierTFR/exp/hiertfr-BOMA,5,train,2000,100,99.57001015968483,97.21,0.0043698364903312316,0.034912000000000006,8.00158,0.012748000000000204
hiertfr,03_HierTFR/exp/hiertfr-BOMA,5,validation,500,25,98.22975170909226,88.84,0.01808212282362727,0.13964799999999997,7.9378400000000005,0.050991999999999926
conpco,04_ConPCO/exp/conpco-BOMA,1,train,2000,100,99.47481189228486,97.42999999999998,0.0059463223381844635,0.020496,7.98418,0.0046520000000001005
conpco,04_ConPCO/exp/conpco-BOMA,1,validation,500,25,97.84066432210528,89.72,0.024564563926520507,0.08198399999999997,8.007439999999999,0.018607999999998626
conpco,04_ConPCO/exp/conpco-BOMA,2,train,2000,100,99.60755869787367,98.75,0.004710341901981108,0.03160799999999997,8.02012,0.03128799999999998
conpco,04_ConPCO/exp/conpco-BOMA,2,validation,500,25,98.432318550621,95.0,0.018678453037588926,0.126432,7.86368,0.12515200000000082
conpco,04_ConPCO/exp/conpco-BOMA,3,train,2000,100,99.57119401482262,97.71999999999998,0.004994576701833391,0.029091999999999993,7.96438,0.02445200000000014
conpco,04_ConPCO/exp/conpco-BOMA,3,validation,500,25,98.34094316964224,90.88000000000001,0.019046363594855342,0.11636799999999996,8.08664,0.09780799999999878
conpco,04_ConPCO/exp/conpco-BOMA,4,train,2000,100,99.50818994925555,96.81,0.005667474855461861,0.044325999999999983,8.01449,0.02565799999999996
conpco,04_ConPCO/exp/conpco-BOMA,4,validation,500,25,97.97486044240077,87.24000000000001,0.02343032422426212,0.17730399999999996,7.886199999999999,0.10263200000000161
conpco,04_ConPCO/exp/conpco-BOMA,5,train,2000,100,99.49718577149143,96.93,0.0058831879034194675,0.04098999999999994,7.96099,0.02784200000000059
conpco,04_ConPCO/exp/conpco-BOMA,5,validation,500,25,98.0304313282306,87.72,0.02304188361420805,0.16396000000000005,8.100200000000001,0.11136800000000058
hmamba,05_hmamba/exp/hmamba-BOMA/0,1,train,2000,100,99.47481189228486,97.42999999999998,0.0059463223381844635,0.020496,7.98418,0.0046520000000001005
hmamba,05_hmamba/exp/hmamba-BOMA/0,1,validation,500,25,97.8406643221053,89.72,0.024564563926520497,0.08198399999999997,8.007439999999999,0.018607999999998626
hmamba,05_hmamba/exp/hmamba-BOMA/0,2,train,2000,100,99.60755869787367,98.75,0.004710341901981082,0.03160799999999997,8.02012,0.03128799999999998
hmamba,05_hmamba/exp/hmamba-BOMA/0,2,validation,500,25,98.432318550621,95.0,0.01867845303758893,0.126432,7.86368,0.12515200000000082
hmamba,05_hmamba/exp/hmamba-BOMA/0,3,train,2000,100,99.57119401482262,97.71999999999998,0.004994576701833389,0.029091999999999993,7.96438,0.02445200000000014
hmamba,05_hmamba/exp/hmamba-BOMA/0,3,validation,500,25,98.34094316964224,90.88000000000001,0.019046363594855346,0.11636799999999996,8.08664,0.09780799999999878
hmamba,05_hmamba/exp/hmamba-BOMA/0,4,train,2000,100,99.50818994925555,96.81,0.0056674748554618615,0.044325999999999983,8.01449,0.02565799999999996
hmamba,05_hmamba/exp/hmamba-BOMA/0,4,validation,500,25,97.97486044240077,87.24000000000001,0.02343032422426213,0.17730399999999996,7.886199999999999,0.10263200000000161
hmamba,05_hmamba/exp/hmamba-BOMA/0,5,train,2000,100,99.49718577149142,96.93,0.005883187903419456,0.04098999999999994,7.96099,0.02784200000000059
hmamba,05_hmamba/exp/hmamba-BOMA/0,5,validation,500,25,98.03043132823063,87.72,0.02304188361420805,0.16396000000000005,8.100200000000001,0.11136800000000058
m3c,06_M3C/exp/M3C-BOMA,1,train,2000,100,99.39289927904613,97.33,0.006711327821157857,0.024964000000000014,8.00814,0.01930799999999877
m3c,06_M3C/exp/M3C-BOMA,1,validation,500,25,97.60887134741128,89.32,0.026548785308815073,0.09985599999999992,7.9116,0.07723200000000041
m3c,06_M3C/exp/M3C-BOMA,2,train,2000,100,99.56568855976977,97.66,0.005027259465004324,0.028190000000000034,8.01389,0.02505799999999958
m3c,06_M3C/exp/M3C-BOMA,2,validation,500,25,98.22796241353406,90.64,0.020449722042121973,0.11275999999999994,7.8886,0.1002320000000001
